date	dateNorm	deaths	cumDeaths	totalTweets	nonRTs	rTs	pos	neg	neu
1318453200	13/10/2011	15	3743	0	0	0	0	0	0
1318539600	14/10/2011	25	3768	0	0	0	0	0	0
1318626000	15/10/2011	20	3788	0	0	0	0	0	0
1318712400	16/10/2011	12	3800	0	0	0	0	0	0
1318798800	17/10/2011	40	3840	0	0	0	0	0	0
1318885200	18/10/2011	9	3849	0	0	0	0	0	0
1318971600	19/10/2011	25	3874	0	0	0	0	0	0
1319058000	20/10/2011	19	3893	0	0	0	0	0	0
1319144400	21/10/2011	28	3921	0	0	0	0	0	0
1319230800	22/10/2011	23	3944	0	0	0	0	0	0
1319317200	23/10/2011	23	3967	0	0	0	0	0	0
1319403600	24/10/2011	22	3989	0	0	0	0	0	0
1319490000	25/10/2011	3	3992	0	0	0	0	0	0
1319576400	26/10/2011	23	4015	0	0	0	0	0	0
1319662800	27/10/2011	12	4027	0	0	0	0	0	0
1319749200	28/10/2011	74	4101	0	0	0	0	0	0
1319835600	29/10/2011	27	4128	0	0	0	0	0	0
1319922000	30/10/2011	8	4136	0	0	0	0	0	0
1320012000	31/10/2011	12	4148	0	0	0	0	0	0
1320098400	01/11/2011	8	4156	0	0	0	0	0	0
1320184800	02/11/2011	25	4181	0	0	0	0	0	0
1320271200	03/11/2011	29	4210	0	0	0	0	0	0
1320357600	04/11/2011	27	4237	0	0	0	0	0	0
1320444000	05/11/2011	45	4282	0	0	0	0	0	0
1320530400	06/11/2011	29	4311	0	0	0	0	0	0
1320616800	07/11/2011	11	4322	0	0	0	0	0	0
1320703200	08/11/2011	21	4343	0	0	0	0	0	0
1320789600	09/11/2011	20	4363	0	0	0	0	0	0
1320876000	10/11/2011	38	4401	0	0	0	0	0	0
1320962400	11/11/2011	35	4436	0	0	0	0	0	0
1321048800	12/11/2011	20	4456	0	0	0	0	0	0
1321135200	13/11/2011	28	4484	0	0	0	0	0	0
1321221600	14/11/2011	40	4524	0	0	0	0	0	0
1321308000	15/11/2011	22	4546	0	0	0	0	0	0
1321394400	16/11/2011	27	4573	0	0	0	0	0	0
1321480800	17/11/2011	25	4598	0	0	0	0	0	0
1321567200	18/11/2011	25	4623	0	0	0	0	0	0
1321653600	19/11/2011	21	4644	0	0	0	0	0	0
1321740000	20/11/2011	14	4658	0	0	0	0	0	0
1321826400	21/11/2011	28	4686	0	0	0	0	0	0
1321912800	22/11/2011	39	4725	0	0	0	0	0	0
1321999200	23/11/2011	25	4750	0	0	0	0	0	0
1322085600	24/11/2011	36	4786	0	0	0	0	0	0
1322172000	25/11/2011	26	4812	0	0	0	0	0	0
1322258400	26/11/2011	38	4850	0	0	0	0	0	0
1322344800	27/11/2011	42	4892	0	0	0	0	0	0
1322431200	28/11/2011	18	4910	0	0	0	0	0	0
1322517600	29/11/2011	10	4920	0	0	0	0	0	0
1322604000	30/11/2011	28	4948	0	0	0	0	0	0
1322690400	01/12/2011	18	4966	0	0	0	0	0	0
1322776800	02/12/2011	21	4987	0	0	0	0	0	0
1322863200	03/12/2011	27	5014	0	0	0	0	0	0
1322949600	04/12/2011	34	5048	0	0	0	0	0	0
1323036000	05/12/2011	34	5082	0	0	0	0	0	0
1323122400	06/12/2011	15	5097	0	0	0	0	0	0
1323208800	07/12/2011	8	5105	0	0	0	0	0	0
1323295200	08/12/2011	30	5135	0	0	0	0	0	0
1323381600	09/12/2011	47	5182	0	0	0	0	0	0
1323468000	10/12/2011	19	5201	0	0	0	0	0	0
1323554400	11/12/2011	28	5229	0	0	0	0	0	0
1323640800	12/12/2011	21	5250	0	0	0	0	0	0
1323727200	13/12/2011	40	5290	0	0	0	0	0	0
